0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:35 +0530] "GET /kartikey2/web/images/Ldynamic/a12.jpg HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:35 +0530] "GET /kartikey2/web/images/loading.gif HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:35 +0530] "GET /kartikey2/web/js/blank.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:40 +0530] "GET /kartikey2/web/fetchdetails.jsp?i=11 HTTP/1.1" 200 18448
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:40 +0530] "GET /kartikey2/web/images/Ldynamic/a13.jpg HTTP/1.1" 200 467098
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:40 +0530] "GET /kartikey2/web/images/Ldynamic/a9.jpg HTTP/1.1" 200 321507
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:40 +0530] "GET /kartikey2/web/js/blank.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:44 +0530] "GET /kartikey2/web/about.html HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:44 +0530] "GET /kartikey2/web/images/about_pic.jpg HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:47 +0530] "GET /kartikey2/web/contact.html HTTP/1.1" 200 9180
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 200 10050
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/images/pic3.jpg HTTP/1.1" 200 20925
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/images/pic2.jpg HTTP/1.1" 200 22922
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/images/pic5.jpg HTTP/1.1" 200 18928
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/images/pic6.jpg HTTP/1.1" 200 20816
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/images/pic1.jpg HTTP/1.1" 200 20740
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:50 +0530] "GET /kartikey2/web/images/pic4.jpg HTTP/1.1" 200 16177
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:58 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:58 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:58 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:58 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:58 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:59 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:59 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:59 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:04:59 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:05:06 +0530] "GET /kartikey2/web/product.jsp HTTP/1.1" 200 9986
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:05:18 +0530] "GET /kartikey2/web/fetchdetails.jsp?i=11 HTTP/1.1" 200 18453
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:05:18 +0530] "GET /kartikey2/web/images/loading.gif HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:05:18 +0530] "GET /kartikey2/web/js/blank.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:08 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:09 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:09 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:09 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:09 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:09 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:09 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:10 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:10 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:10 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:10 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:11 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:11 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:11 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:11 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:11 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:49 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:49 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:49 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:50 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:50 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:50 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:50 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:06:50 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:07:18 +0530] "GET /kartikey2/web/product.jsp HTTP/1.1" 200 9986
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:07:36 +0530] "GET /kartikey2/web/product.jsp HTTP/1.1" 200 9986
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:07:44 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:07:51 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:07:51 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:07:51 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:24 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:24 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:25 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:25 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:25 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:25 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:25 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:26 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:26 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:26 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:08:26 +0530] "GET /kartikey2/web/products.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:09:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:09:14 +0530] "GET /kartikey2/web/contact.html HTTP/1.1" 200 9178
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:09:15 +0530] "GET /kartikey2/web/contact.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:09:17 +0530] "GET /kartikey2/web/contact.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:09:19 +0530] "GET /kartikey2/web/product.jsp HTTP/1.1" 200 9986
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:09:31 +0530] "GET /kartikey2/web/contact.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:09:32 +0530] "GET /kartikey2/web/product.jsp HTTP/1.1" 200 9986
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:09:35 +0530] "GET /kartikey2/web/contact.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:10:02 +0530] "GET /kartikey2/web/fetchdetails.jsp?i=8 HTTP/1.1" 200 18427
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:10:02 +0530] "GET /kartikey2/web/images/loading.gif HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [10/Jul/2019:18:10:02 +0530] "GET /kartikey2/web/js/blank.png HTTP/1.1" 404 1112
