0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/js/slick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/js/jquery.counterup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/js/jquery.fancybox.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/slider/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/slider/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/about-us.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/slider/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/courses/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/courses/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/courses/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/teachers/teacher-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/testimonial-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/testimonial-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/teachers/teacher-02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/teachers/teacher-03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/teachers/teacher-04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/testimonial-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/blog/blog-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/blog/blog-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/blog/blog-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/counter-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/testimonial-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/img/slider/ajax-loader.gif HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:32 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:32 +0530] "GET /ayush/Varsity/assets/img/slider/ajax-loader.gif HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:32 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:33 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:33 +0530] "GET /ayush/Varsity/assets/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:33 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:34 +0530] "GET /ayush/Varsity/assets/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:34 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:34 +0530] "GET /ayush/Varsity/assets/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:30 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 200 41147
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/css/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/css/theme-color/default-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/js/slick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/js/waypoints.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/js/jquery.counterup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/js/jquery.mixitup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/js/jquery.fancybox.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/img/slider/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/img/slider/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:31 +0530] "GET /ayush/Varsity/assets/img/slider/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:32 +0530] "GET /ayush/Varsity/assets/img/about-us.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:31:32 +0530] "GET /ayush/Varsity/assets/img/courses/1.jpg HTTP/1.1" 304 -
